review,rating,compound,label
not good one reason headphones dont cover whole ear placed year not comfortable you cant wear longer time starts hurting so try another one price range there many available cost better thisread more,1,-0.6004,Negative
not good packaging still satisfied product worth money liked muchyou guys go itread more,4,0.6242,Positive
great budget headphones if looking headphone budget dont think twice if youre bass head amazing battery decent 6 hrs average fit not good it sometimes feels loose needs adjusted overall good option design improvements get 5 starsread more,4,0.8978,Positive
one best wireless headphones 1k bass good speciality boat loud mids well contained overall satisfied headphonesread more,4,0.9001,Positive
i really excited headphones first sound quality expectations bass also good main issue comes comfort levelthese headphones not comfortable youll start feeling pain ears withing 1015 mins use the worst part return option not available product exchange really disappointed whats use good music not comfortable productread more,1,-0.6912,Negative
awesome the bass top notch sounf quality great even loud speedthe battery backup also good read more,5,0.9169,Positive
got headphone rs 899 offer say amazing well worth design build quality not mark quite uncomfortable wear long may im feeling new using month may use thats alright not expecting much either neglected seeing price best part sound bass lits headphone its amazing listen songs youre lover ofread more,5,0.9643,Positive
bluetooth connection sound bass good using aux cable cable bass sound low volume button not works aux cableand not good calls days later ear got painingread more,2,-0.1546,Negative
battery backup is ashvatthama which just denies to die straightaway 8 hours of travel couldnt end the charge and it works pretty well controls are great easy and responsive a true wireless freedom 100 satisfied read more,5,0.9509,Positive
hey fellows headphones awesome superb basesuperb built quality metal holders good i got rs999 u may get fr rate salesread more,5,0.9022,Positive
decent buy music gaming wired gives best experience but last an excellent for daily use i used 1 yr writing review after 1 yr i broken its plastic once but i fixed tape but decent but not recommend a rough useread more,4,0.2108,Positive
good choice best bass sound quality good i like productread more,5,0.91,Positive
order it may 18 12days itz work properly suddenly one side speaker i not working properly quality products working 10 daysread more,1,0.0,Positive
bought rs999 big billion dayssupercomnetreceived within 40 hrs5 star flipkart superfast deliveryon discounted products assumed box wid brokensealed openbut surprise i received brand new box completely sealed good conditioni happy half times not case5 stars packaging sending brand new sealed boxcoming product product good pricebass ok not gr8 not bad eread more,4,0.8365,Positive
its nice product nice build quality sound quality also battery backup good overall product nice price 999 bluetooth range also good upto 1020 meter mic quality also goodread more,4,0.9217,Positive
ive using boat rockerz 400 almost 7 months wellz impressions im impressed performance considering price pros1 good bass the bass really good really beat and not much extreme cancel audible vocals good enough2 durability i dont know people rated durability minus i gotta say thing pretty durable pretty much state i gotread more,4,0.9655,Positive
1sound quality pretty good bass also good2battery backup excellentmostly go outside trust battery itll stand 68 hrs 3build quality not good feels painful ears cushion no use ears feel tightnessand makes mad sometimes4for pubg cant judge footsteps clearly even full volume use aux cable playing pubglil bit betteroverall want comfortable one go costly oneanread more,3,0.7745,Positive
this best head phone i never hark base like headphone wonderfully performance i played games pci suggested people buy head phone name boat rockerz 400read more,5,0.8552,Positive
works fine laptop well mobile but ears aching using even half hour could much softer good occasional use cant watch full movie feel pain outer earread more,4,-0.6059,Negative
this genuine review sound quality nice clear bass average i recommend boat rockerz 510build quality waste it broke 2 monthsmic average not clearwhen music changing small bit disturbance if like show best for powerful bass boat rockerz 510 bestread more,1,0.8481,Positive
amazing product bass quality excellent battery even better look amazing come couple cable wich include charging cable another use wired headphones i wrote one day use again amazing product read more,5,0.9584,Positive
the product good bass awesome i think bass lover give try wont let the problem flipkart it takes much time deliver compared services i felt little bit annoyed overall the product worth every penny thank youread more,5,0.9341,Positive
super duper hit bass sound quality best battery backup best beautiful color best money best productsread more,5,0.979,Positive
its best product reasonable price value money durable well i loved thank flipkartread more,5,0.9337,Positive
sound quality good enough considering i got 1000 might find tight ears usually ones bigger heads fine thoughdidnt feel deep bass rocking nonethelessread more,4,0.5719,Positive
very good producti got price 1275 rs phone pay discount product awesomeloud bass clarity fit ear but bluetooth range smaller said description ie 6 8 other good delivery n packaging good battery backup also awesome i not charging since bought productjust checked charging issue find not great productgo itread more,5,0.9247,Positive
pros excellent battery backup nearly 7 hrs good bass all one wired wireless built mic playpause receiveend call good build quality worth pricei got 699300 cashback phonepe onlycons bass nothing using bass boost worst sound quality connecting 35 mm jack need speak loudly talking someonealso voice low needs listen carefullyread more,4,0.4482,Positive
this first product boat headphone awesome the sound quality amazing loud you feel vibration playing music this headphone comes one year warranty super the packing product soooooo good the design build appreciated even celebrities use headphone this headphone cheap performance incredibly wonderful dont think buy if foundread more,5,0.9744,Positive
good 30 minutes 1 hour usage ear cup small along small frame gives high pressure ear ear headphone described didnt expect going uncomfortable and no refund bass much u miss instruments build quality ok simple design ear cups fixed 2 steel rods hope lastsoud quality good superb alternate iball headsetread more,1,0.9039,Positive
boat rockerz 400 awesome product price range company cannot give much quality 1 price good 2 bass awesome 3 sound clear i recommend product anyone loves musicread more,4,0.9633,Positive
sound quality amazing fantastic lookbut not comfortable ear size little largebcauz ears pretty large pressurise ear lot cant use 1520 minread more,3,0.7926,Positive
helo friendssince boat trending headphone accessories market many need second opinion purchase i used earphones jbl senheizzer skullcandy mi till i also chance use sony wired headset oncethe product boat rickerz 400 headset entry level headset i got offer price 999rs the product delivered within week time well packed kudos ekart better delivery however product box inside courier paread more,4,0.8519,Positive
excellent jst awesome product love 999 bestread more,4,0.9186,Positive
sound quality good connectivity better not good range within 3 onlyit feels tight okmic works away around 1m aboveread more,5,0.5258,Positive
dont know people give 1star product product given 45 stars bcoz superb bass well battery backup extremely good watch almost two movies time use wire given appreciation amount needed product like thiswriting mumbai andheri atlast mumbai style ka review product bohut hard hai read more,5,0.9299,Positive
awesome product crystal clear sound superb bass i buy rs 999 money worth thanks big shopping days sale i love favourite shopping app flipkartread more,5,0.9628,Positive
base excellent charging good loved product lot thank youread more,5,0.9186,Positive
awesome product great experience awesome sound effect good battery life gr8 soundproblem takin travelling cant folded flat position 1 problem mic not working well callers cannot receive clearly even though good productread more,4,0.9519,Positive
i gifted sister rakhiwe happy see box quality got pricethe sound quality goodi used headphones including philips audiotechnica sony also soundmagicthis stands quality audiotechnica yeah bluetooth works perfectlyboataudiotechnica1300rs rangesoundmagicphilipssonyso u buy yes ur budget stands near 10001200read more,5,0.8225,Positive
dissipointed not comfortable very bad ears hardly 10 15mins u listen music hhhhh pain start also tight cushion not good bakwass sound quite good bass nice treble absentmid ok type build quality good specially plastic used conread more,1,0.7198,Positive
best headphone 1ki really impressed battery backup 8hr continue listening medium volumesound quality extra bass also goodits cushions not soft good comfortableread more,4,0.7341,Positive
really impressed thisi using ear sony bluetooth i much addicted n not convinced head phonesbut 40 mm boat rockers really rocked n i use nowtechnically worth price n i happy customer boat brandcongratsread more,4,0.774,Positive
i really like product awesome product seal open dirty means i used some1 product good i like i would like suggest flipkart not send used product anyways headphones really awesomeread more,5,0.9033,Positive
i used headset quite comfortable handyi jbl 350 think build design boat 400 better thank flipkartread more,5,0.8399,Positive
talk sound quality want rate 100very awsm quality deep bass peaceful ears design liked thing much one friend owned awsm product get know wonderful product search sorry cant say anything much battery back writing review within 1day product delivery i liked this product hope u all shiread more,5,0.9559,Positive
good headphonebuilt quality goodbass super microphone not goodalso little uncomfortable using 1houroverall good headphone respect pricei got 999wow deal big saver day flipkartread more,4,0.9296,Positive
good sound quality reasonable price colour amazing volume set not much good semi comfortable wearing purpose good productread more,4,0.8884,Positive
great product and color white green also great trust one great productread more,5,0.9485,Positive
yes good provides good bass from student giving icse 2020 board exam holy angel school rajpuraread more,5,0.872,Positive
i received 23rd januarythe packaging good time deliveryi using headphones around 3 weeksand going good till nowsound 910 balanced soundbass 910 good amount bass many us like but initially feel bass not mark but later used poweramp music player and magically quality read more,4,0.6808,Positive
thank flipkart fast delivery sound quality mind blowing bole pesa vasul product thank much flipkart read more,5,0.6124,Positive
its good play pubg wired extra bass no build quality used 9months today broken i put ear but i got i thought good build quality doesntany way good headphone play pubg using wire otherwise 12 second delay loved no read more,3,0.9081,Positive
light weight stylish good sound quality bass better good battery back connectivity low otherwise great productread more,5,0.8934,Positive
awesome product worth moneynice sound nice build nice design butonly thing didnt give 5 5 the east cups small cushion not appreciable hurts ears wear long periodsread more,4,0.921,Positive
excellent headset good build quality8to9 hour run time sound quality also good price pay 900 thanks flipkart giving us type saleread more,5,0.9246,Positive
its decent good product price since i using 45 month i not facing issue sound sound headphone satisfying best price must say talking battery backup headphone comes good battery long lasting hence used play 12 hour daily battery remain till 56 daysproblemthe problem faced 1 month product bluetooth range problem common every bluetoread more,4,0.875,Positive
its product really good im really happy bcos want bajact wireless headphone everything iss good looks sometime i feel simple not cup tea u r looking looking u go others also praformes iss gud price got rs 1100read more,5,0.8922,Positive
every thing good price giving nice look not paining ear wearing good productread more,5,0.9054,Positive
great products awesome sound very pretty to see nd sound quality good i wish take products loved product 78hrs battery life including 45 mins approx call time awesome sounds outputread more,5,0.9783,Positive
sound quality good bass also decent look wise not much great overall i prefer boat rockerz 450 boat rockerz 400read more,4,0.4031,Positive
sound clarity bass average loved but irritating thing not comfortable it holds earpieces like hell not recommended gaming even though im hard gamer it cannot used 15mins hardly aux perfectly fine no issue bluetooth connectivity also irritating points while using bt produces awkward sounds pauseplaypauseplay video first i thought itsread more,3,-0.9082,Negative
best headphones price got 850 steal dealthis going long term review buying boat 450 mind somewhere research found boat 450 not durable gets brick joints also 450 heavy bass kills mids highs sometimesfor example pubg using m762 spray not able hear anything else heavy bass boat 450now coming boat 4read more,5,-0.3612,Negative
this headphones good regular use cant use 3 4 hour cusion quality not decent price range awesome and better zebronics zeb thunder infinity jbl driver bigread more,5,0.872,Positive
i really like headphones sound quality design also good comfortable well however want buy calls not perfect product microphone not perfect person phone wont able hear clearlyread more,4,0.6594,Positive
built quality base colour excellent the foam material holds ears made quality products one adjust soeakers various directions aux cable charger cable provided box you use aux cable enjoy music not available bluetooth option i opted black red model amazing go you may get within 96400 sale daysread more,4,0.8934,Positive
this product amazingit good sound quality design built also good the main point i purchased microphone online classes products mic not goodwhile talking voice not audible receiver our voice comes external disturbances results fuzzy soundread more,4,0.5267,Positive
i like sound headphone i want white colour grey overall good good base good battery quality design not well price range good thank flipkart product fast deliveryread more,3,0.9359,Positive
the reason choosing one othersit works bluetooth aux cablewiredso bhagwan na kare agar bluetooth kharab ho jae toh u still use aux cable use wired its one advantage big one others two one its tight fit ears pain 3045 mins it mit get loosen time voice good connectivity working fine till bass good looks good built wise in short leke baat khatam karo 1399 aur kya chahiyeread more,5,0.9153,Positive
this bluetooth headphone really worth money superb bass best sound quality build extremely unbelievable dont think right really really awesome broread more,5,0.9553,Positive
the product description page says bluetooth v 41 actually v 21 means poor connectivity rangeyou adjust equalizer settings phone allows get good sound else hear bass vocals sounds suppressed sound quality good listen musicbeware buying make regular voip calls sound keeps breaking noise not ideal calls meetingsbuild quality could betterread more,3,-0.0196,Negative
headphone good not working reduce sound song given return back correct right make sound song notread more,5,0.4404,Positive
boat rockerz 400 good headset it perfect bass listening songs although i lenovo k6 power user i dolby atmos phone l run it gives good performancel like build quality boat always favourite headphone company thanks flipkart sellerread more,5,0.9509,Positive
i purchased model boat rockerz400 1 purchase flipkart smart headphone h 25 days comparison i like flipkart headphone flipkart headphone sound quality much better boat 400 base phone call voice mic good flipkart headphone experienceread more,5,0.875,Positive
this reasonable head phone great battery pretty sound make happy proud purchasethank boat amazing headphoneread more,5,0.9578,Positive
nice headset good bass battery backup great but seems problems mic but pretty good job noice cancellation greatread more,4,0.875,Positive
best headphones 2000 good bass good sound quality not good battery backupbut overall best headphone boat rockerz 400 one problem low bluetooth connectivity read more,5,0.8399,Positive
sound quality really good comes adequate bass i think build quality would much better still quite better brands providing budgetbattery backup also literally well should go want great sound quality budgetread more,4,0.9513,Positive
clear hd audio without distractions excellent sound bass awesome theatre like experience highly recommended product bought 999 best rangeread more,5,0.9222,Positive
overall nice product bass good voice accuracy little inaccurate playing songs battery backup also good range not actually 10m within 67min range used overall good product say best value money deal specially sales little tight ear not used day long except mentioned issues niceread more,4,0.956,Positive
nice productgood sound bass solid build best headphones 1500 2 stars comfort battery delivery also pretty late 67 daysread more,3,0.9231,Positive
wahooo best product boat headphones best sound quality delivery late product best best flipkart parcel service best thanku flipkart happy shoppingread more,4,0.9792,Positive
sound quality average although bass good ear cushion lil bit smaller tight ears long useage bt battery backup good enough listen songs average use although noise canceling works good overall good product go coz giving best price range read more,5,0.9531,Positive
its excellent product price rangeits featured packed headphones great bass treble quit decent prosexcellent bassclear trebleseasy battery backupled indicatorconnot recommended longer use cause becomes uncomfortable personal experience maybe not othersread more,4,0.7906,Positive
better competitors price segmentits way better jbl t500bt price 3kits competitor terms sound quality sony wh ch 500 available 3k big billions go itmy advise thinking buy one good pair headphones go chroma reliance digital check sound quality various ranges headphones buy one according budgetread more,5,0.8271,Positive
this one best headphone coz features quality superb design also cool super extra bass wireless function also given music playback time 8hrs i like guys go dont thinkread more,5,0.9517,Positive
ya best device great voice bassgreat design look personally like itand try fast deliveryread more,4,0.8957,Positive
pros1 sound quality well balanced indian music2every instrument well vocals heard clearly3 battery life awesome easily lasts 89 hrs 3 hrs charge4 connectivity decent goes 78 mtrs without issue5 headphones quite sturdy headphones gave fallen couple times considerable distance nothing happenedcons1 ear cups not soft gud 1525 hrs use starts bothering ear2 size fit coread more,4,0.7964,Positive
best headphones price segment best get 999 get sound quality 3000 4000 headphones love boat rockerz 400read more,5,0.9274,Positive
battery backup good design also good sound clarity best bass awesome earphone snug fit means fit accordingly head size bluetooth pairing also fast so overall good a must buy read more,5,0.975,Positive
headphones much good also come fast flipkart packaging headphones not good enough box torn places delivery boy says torn travelling i detected one star whether headphones goodread more,4,-0.3624,Negative
nice onebattry back great b played upto 6hr charged fullybass greatbut headphone design n build quality not much guddoesnt look beautiful n attracting way sound bass battry backup much great well n satisfiactiongo for itread more,5,0.967,Positive
brilliant product super bass nice calling experience product battery drain good good work boatread more,5,0.946,Positive
amazing prize product outstanding i love love i recommend headset mind blowing productread more,5,0.9719,Positive
awesome product sound loud super light weight folds almost inside but one thing note cant change volume wired mode wireless mode change volume otherwise amazing product i got 999 sale best price headphoneread more,4,0.9517,Positive
i gave four stars theres humming sound playing tracks not youve paused music only hardcore music lovers able detect i thought product searching i saw people mentioned dont get wrong sound quality not bad humming sound also not loud it okay battery backup good connectivity range average like bl headset i think green color gives uread more,4,0.9488,Positive
everything betrer sound quality awesome battery backup good not excellent design lovely looks i love this thank flipkart thank u boatread more,5,0.8886,Positive
awesome sound quality beginning i like 8 hrs battery backup not sufficient music lover like purchasing starting using i came know i dont listen music 3 hrs day i use almost 3 days single charge i happy headphone everything recommended product read more,5,0.8892,Positive
nice headphones boat super sound quality nice 999 nice product mfd boatread more,5,0.9062,Positive
nice osm quality thank flipkart love goodread more,5,0.8591,Positive
best headphonesthanks flipkart selling 999if u get price best earphones price categorypros1good bass2nice sound quality3 battery backup 8hrs pluscons1 takes 2 hrs charge fully2felt call flickering sometimes3built could improved hide connecting wire earpiecesoverall i used jbl t450t sony headphonesand one good terms sound quality price 999read more,5,0.9287,Positive
sound awesome truly love battery backup boat worked well comfort make ear paining 3040 min tolerate little bit pain go i purchased 999 saleread more,4,0.8773,Positive
great product great pricesordered lot search youtube last ordered itusing u days writing review itreview best wireless ear headphones great brand value didnt find cons sound quality bass everything great compactbattery pack awesome standby usage using 7 dayslooks great stylish no pains ear must buythank youread more,5,0.9878,Positive
good wish master polite helping natureread more,5,0.7783,Positive
awesome bass good sound quality sometimes heating sensation feels ear fast delivery flipkartvalue customersread more,4,0.7906,Positive
month ive using headphones i absolutely no complains regarding headphones sound quality builtwise feels little tighter using long timebut i deal thats not issue i loved product battery backup looking good battery backup blindly go disappointed mic quality i mean literally sucks even talk highest tone vread more,5,-0.475,Negative
average product good enough price rangepros 1 excellent bass 2 excellent range3 excellent battery backup4 excellent ear cushions5 decent build quality6 very good volumecons 1 the mic useless it placed bad position cannot catch voice mouth picks unwanted surrounding noise makes pathetic person talking understand anything saying2 a click sounds happens playing bluetooth especially voluread more,3,0.8955,Positive
good product quality music not good bass well totally best product best product battery backup good i got 1000 rupees offer side head phone packet dustedread more,4,0.9107,Positive
im writing review almost year purchase headphone 1 excellent budget headphone however no extra bass advertised sound quality low price 999 i bought headphone bbd sales really good 2 wireless connectivity also good along good battery backup headphone3 the grip headphone head really good even sudden head movements enjoy music rhythmicly bobbing head headread more,5,0.9412,Positive
i received 3 days i open box put head know happened nextout surprise sound quality good sound quality feels like watching movie theatre i wasnt knowing headphone perform much better i glad get really headphone proves tagline boat plug nirvanathank boat flipkartread more,5,0.9081,Positive
